sequence,decision,ct_entry,completed_slot,completed_id,replacement_id,ndtr_guard,free_depth_after_take,ready_depth_after_publish,nominal_to_decision_cycles,nominal_to_irq_exit_cycles,final_window_cycles,mapping_epoch_after,m0_before,m1_before,m0_after,m1_after,processing_begin_offset_cycles,processing_end_offset_cycles,release_commit_offset_cycles,raw_min,raw_max,processed_ok
1,1,1,0,0,2,251,7,1,6632,11838,1073,2,536874568,536875088,536875608,536875088,244927,3254353,3256089,0,9,1
2,1,0,1,1,3,251,6,1,6630,11574,1070,3,536875608,536875088,536875608,536876128,3258542,6267961,6269697,0,6,1
3,1,1,0,2,4,251,5,2,6632,11577,1073,4,536875608,536876128,536876648,536876128,6272144,9281558,9283295,0,6,1
4,1,0,1,3,5,251,4,3,6618,11559,1070,5,536876648,536876128,536876648,536877168,9286008,12295419,12297154,0,6,1
5,1,1,0,4,6,251,3,4,6624,11561,1073,6,536876648,536877168,536877688,536877168,12299602,15309021,15310762,0,6,1
6,1,0,1,5,7,251,2,5,6610,11542,1070,7,536877688,536877168,536877688,536878208,15313209,18322630,18324366,0,5,1
7,1,1,0,6,8,251,1,6,6620,11561,1075,8,536877688,536878208,536878728,536878208,18326815,21336239,21337974,0,6,1
8,1,0,1,7,9,251,0,7,6602,11533,1070,9,536878728,536878208,536878728,536879248,21340423,24349821,24351555,0,6,1
9,2,1,0,8,255,252,0,7,4585,7209,510,9,536878728,536879248,536878728,536879248,0,0,0,0,0,0
10,2,0,1,9,255,252,0,7,4574,7196,507,9,536878728,536879248,536878728,536879248,0,0,0,0,0,0
11,2,1,0,8,255,252,0,7,4585,7209,510,9,536878728,536879248,536878728,536879248,0,0,0,0,0,0
12,2,0,1,9,255,252,0,7,4574,7196,507,9,536878728,536879248,536878728,536879248,0,0,0,0,0,0
13,2,1,0,8,255,252,0,7,4905,7528,508,9,536878728,536879248,536878728,536879248,0,0,0,0,0,0
14,2,0,1,9,255,252,0,7,4574,7196,507,9,536878728,536879248,536878728,536879248,0,0,0,0,0,0
15,1,1,0,8,0,251,0,7,6612,11535,1075,10,536878728,536879248,536874568,536879248,24354013,27363415,27365153,0,5,1
16,2,0,1,9,255,252,0,7,4566,7177,505,10,536874568,536879248,536874568,536879248,0,0,0,0,0,0
