sequence,decision,ct_entry,completed_slot,completed_id,replacement_id,ndtr_guard,free_depth_after_take,ready_depth_after_publish,nominal_to_decision_cycles,nominal_to_irq_exit_cycles,final_window_cycles,mapping_epoch_after,m0_before,m1_before,m0_after,m1_after,processing_begin_offset_cycles,processing_end_offset_cycles,release_commit_offset_cycles,raw_min,raw_max,processed_ok
1,1,1,0,0,2,251,0,1,6492,11515,1096,2,536874568,536875088,536875608,536875088,244434,1641301,1642892,0,10,1
2,2,0,1,1,255,253,0,0,4518,7063,507,2,536875608,536875088,536875608,536875088,0,0,0,0,0,0
3,2,1,0,2,255,253,0,0,4521,7067,511,2,536875608,536875088,536875608,536875088,0,0,0,0,0,0
4,2,0,1,1,255,253,0,0,4514,7059,507,2,536875608,536875088,536875608,536875088,0,0,0,0,0,0
5,2,1,0,2,255,253,0,0,4517,7063,509,2,536875608,536875088,536875608,536875088,0,0,0,0,0,0
6,2,0,1,1,255,253,0,0,4514,7059,507,2,536875608,536875088,536875608,536875088,0,0,0,0,0,0
7,2,1,0,2,255,253,0,0,4517,7371,509,2,536875608,536875088,536875608,536875088,0,0,0,0,0,0
8,1,0,1,1,0,251,0,1,6497,11537,1095,3,536875608,536875088,536875608,536874568,1857256,3254113,3255704,0,7,1
9,2,1,0,2,255,253,0,0,4521,7061,510,3,536875608,536874568,536875608,536874568,0,0,0,0,0,0
10,2,0,1,0,255,253,0,0,4514,7053,508,3,536875608,536874568,536875608,536874568,0,0,0,0,0,0
11,2,1,0,2,255,253,0,0,4517,7057,510,3,536875608,536874568,536875608,536874568,0,0,0,0,0,0
12,2,0,1,0,255,253,0,0,4514,7053,508,3,536875608,536874568,536875608,536874568,0,0,0,0,0,0
13,2,1,0,2,255,253,0,0,4517,7057,510,3,536875608,536874568,536875608,536874568,0,0,0,0,0,0
14,2,0,1,0,255,253,0,0,4514,7053,508,3,536875608,536874568,536875608,536874568,0,0,0,0,0,0
15,1,1,0,2,1,251,0,1,6484,11504,1098,4,536875608,536874568,536875088,536874568,3470008,4867183,4868779,0,10,1
16,2,0,1,0,255,253,0,0,4518,7057,508,4,536875088,536874568,536875088,536874568,0,0,0,0,0,0
17,2,1,0,1,255,253,0,0,4517,7057,510,4,536875088,536874568,536875088,536874568,0,0,0,0,0,0
18,2,0,1,0,255,253,0,0,4514,7053,508,4,536875088,536874568,536875088,536874568,0,0,0,0,0,0
19,2,1,0,1,255,253,0,0,4517,7057,510,4,536875088,536874568,536875088,536874568,0,0,0,0,0,0
20,2,0,1,0,255,253,0,0,4514,7053,508,4,536875088,536874568,536875088,536874568,0,0,0,0,0,0
21,2,1,0,1,255,253,0,0,4517,7057,510,4,536875088,536874568,536875088,536874568,0,0,0,0,0,0
22,1,0,1,0,2,251,0,1,6485,11511,1095,5,536875088,536874568,536875088,536875608,5082816,6479946,6481537,0,7,1
23,2,1,0,1,255,253,0,0,4521,7062,509,5,536875088,536875608,536875088,536875608,0,0,0,0,0,0
24,2,0,1,2,255,253,0,0,4514,7054,507,5,536875088,536875608,536875088,536875608,0,0,0,0,0,0
25,2,1,0,1,255,253,0,0,4517,7058,509,5,536875088,536875608,536875088,536875608,0,0,0,0,0,0
26,2,0,1,2,255,253,0,0,4514,7054,507,5,536875088,536875608,536875088,536875608,0,0,0,0,0,0
27,2,1,0,1,255,253,0,0,4517,7058,509,5,536875088,536875608,536875088,536875608,0,0,0,0,0,0
28,2,0,1,2,255,253,0,0,4514,7054,507,5,536875088,536875608,536875088,536875608,0,0,0,0,0,0
29,1,1,0,1,0,251,0,1,6496,11521,1099,6,536875088,536875608,536874568,536875608,6695625,8092489,8094079,0,8,1
30,2,0,1,2,255,253,0,0,4518,7057,508,6,536874568,536875608,536874568,536875608,0,0,0,0,0,0
31,2,1,0,0,255,253,0,0,4517,7057,510,6,536874568,536875608,536874568,536875608,0,0,0,0,0,0
32,2,0,1,2,255,253,0,0,4514,7361,508,6,536874568,536875608,536874568,536875608,0,0,0,0,0,0
33,2,1,0,0,255,253,0,0,4517,7057,510,6,536874568,536875608,536874568,536875608,0,0,0,0,0,0
34,2,0,1,2,255,253,0,0,4514,7053,508,6,536874568,536875608,536874568,536875608,0,0,0,0,0,0
35,2,1,0,0,255,253,0,0,4517,7057,510,6,536874568,536875608,536874568,536875608,0,0,0,0,0,0
36,1,0,1,2,1,251,0,1,6485,11512,1094,7,536874568,536875608,536874568,536875088,8308416,9705376,9706967,0,10,1
37,2,1,0,0,255,253,0,0,4521,7061,510,7,536874568,536875088,536874568,536875088,0,0,0,0,0,0
38,2,0,1,1,255,253,0,0,4514,7053,508,7,536874568,536875088,536874568,536875088,0,0,0,0,0,0
39,2,1,0,0,255,253,0,0,4517,7057,510,7,536874568,536875088,536874568,536875088,0,0,0,0,0,0
40,2,0,1,1,255,253,0,0,4514,7053,508,7,536874568,536875088,536874568,536875088,0,0,0,0,0,0
41,2,1,0,0,255,253,0,0,4517,7057,510,7,536874568,536875088,536874568,536875088,0,0,0,0,0,0
42,2,0,1,1,255,253,0,0,4514,7053,508,7,536874568,536875088,536874568,536875088,0,0,0,0,0,0
43,1,1,0,0,2,251,0,1,6484,11500,1099,8,536874568,536875088,536875608,536875088,9921205,11318325,11319916,0,8,1
44,2,0,1,1,255,253,0,0,4518,7058,507,8,536875608,536875088,536875608,536875088,0,0,0,0,0,0
45,2,1,0,2,255,253,0,0,4517,7058,509,8,536875608,536875088,536875608,536875088,0,0,0,0,0,0
