sequence,decision,ct_entry,completed_slot,completed_id,replacement_id,ndtr_guard,free_depth_after_take,ready_depth_after_publish,nominal_to_decision_cycles,nominal_to_irq_exit_cycles,final_window_cycles,mapping_epoch_after,m0_before,m1_before,m0_after,m1_after,processing_begin_offset_cycles,processing_end_offset_cycles,release_commit_offset_cycles,raw_min,raw_max,processed_ok
1,1,1,0,0,2,251,1,1,6536,11586,1097,2,536874568,536875088,536875608,536875088,244537,1871558,1873179,0,9,1
2,1,0,1,1,3,251,0,1,6525,11330,1096,3,536875608,536875088,536875608,536876128,1875516,3502529,3504147,0,8,1
3,2,1,0,2,255,253,0,1,4541,7109,511,3,536875608,536876128,536875608,536876128,0,0,0,0,0,0
4,2,0,1,3,255,253,0,1,4530,7097,505,3,536875608,536876128,536875608,536876128,0,0,0,0,0,0
5,2,1,0,2,255,253,0,1,4541,7109,511,3,536875608,536876128,536875608,536876128,0,0,0,0,0,0
6,2,0,1,3,255,253,0,1,4530,7097,505,3,536875608,536876128,536875608,536876128,0,0,0,0,0,0
7,2,1,0,2,255,253,0,1,4537,7106,509,3,536875608,536876128,536875608,536876128,0,0,0,0,0,0
8,2,0,1,3,255,253,0,1,4530,7097,505,3,536875608,536876128,536875608,536876128,0,0,0,0,0,0
9,1,1,0,2,0,251,0,1,6532,11334,1096,4,536875608,536876128,536874568,536876128,3506496,5133518,5135136,0,6,1
10,2,0,1,3,255,253,0,1,4530,7090,507,4,536874568,536876128,536874568,536876128,0,0,0,0,0,0
11,2,1,0,0,255,253,0,1,4537,7099,511,4,536874568,536876128,536874568,536876128,0,0,0,0,0,0
12,2,0,1,3,255,253,0,1,4530,7090,507,4,536874568,536876128,536874568,536876128,0,0,0,0,0,0
13,2,1,0,0,255,253,0,1,4537,7099,511,4,536874568,536876128,536874568,536876128,0,0,0,0,0,0
14,2,0,1,3,255,252,0,1,4846,7406,507,4,536874568,536876128,536874568,536876128,0,0,0,0,0,0
15,2,1,0,0,255,253,0,1,4537,7099,511,4,536874568,536876128,536874568,536876128,0,0,0,0,0,0
16,1,0,1,3,1,251,0,1,6513,11331,1094,5,536874568,536876128,536874568,536875088,5137472,6764492,6766112,0,10,1
17,2,1,0,0,255,253,0,1,4537,7099,511,5,536874568,536875088,536874568,536875088,0,0,0,0,0,0
18,2,0,1,1,255,253,0,1,4530,7090,507,5,536874568,536875088,536874568,536875088,0,0,0,0,0,0
19,2,1,0,0,255,253,0,1,4537,7099,509,5,536874568,536875088,536874568,536875088,0,0,0,0,0,0
20,2,0,1,1,255,253,0,1,4530,7090,507,5,536874568,536875088,536874568,536875088,0,0,0,0,0,0
21,2,1,0,0,255,253,0,1,4537,7099,511,5,536874568,536875088,536874568,536875088,0,0,0,0,0,0
22,2,0,1,1,255,253,0,1,4530,7090,507,5,536874568,536875088,536874568,536875088,0,0,0,0,0,0
23,1,1,0,0,2,251,0,1,6524,11332,1098,6,536874568,536875088,536875608,536875088,6768461,8395474,8397094,0,6,1
24,2,0,1,1,255,253,0,1,4530,7089,508,6,536875608,536875088,536875608,536875088,0,0,0,0,0,0
25,2,1,0,2,255,253,0,1,4533,7093,508,6,536875608,536875088,536875608,536875088,0,0,0,0,0,0
26,2,0,1,1,255,253,0,1,4530,7089,508,6,536875608,536875088,536875608,536875088,0,0,0,0,0,0
27,2,1,0,2,255,253,0,1,4533,7093,508,6,536875608,536875088,536875608,536875088,0,0,0,0,0,0
28,2,0,1,1,255,253,0,1,4530,7089,508,6,536875608,536875088,536875608,536875088,0,0,0,0,0,0
29,2,1,0,2,255,253,0,1,4537,7098,510,6,536875608,536875088,536875608,536875088,0,0,0,0,0,0
30,1,0,1,1,3,251,0,1,6513,11333,1094,7,536875608,536875088,536875608,536876128,8399432,10026454,10028072,0,7,1
31,2,1,0,2,255,253,0,1,4537,7101,509,7,536875608,536876128,536875608,536876128,0,0,0,0,0,0
32,2,0,1,3,255,253,0,1,4530,7092,505,7,536875608,536876128,536875608,536876128,0,0,0,0,0,0
33,2,1,0,2,255,253,0,1,4537,7101,509,7,536875608,536876128,536875608,536876128,0,0,0,0,0,0
34,2,0,1,3,255,253,0,1,4530,7092,505,7,536875608,536876128,536875608,536876128,0,0,0,0,0,0
35,2,1,0,2,255,253,0,1,4537,7101,509,7,536875608,536876128,536875608,536876128,0,0,0,0,0,0
36,2,0,1,3,255,253,0,1,4530,7092,505,7,536875608,536876128,536875608,536876128,0,0,0,0,0,0
37,1,1,0,2,0,251,0,1,6532,11334,1098,8,536875608,536876128,536874568,536876128,10030420,11657435,11659053,0,7,1
38,2,0,1,3,255,253,0,1,4530,7090,507,8,536874568,536876128,536874568,536876128,0,0,0,0,0,0
39,2,1,0,0,255,252,0,1,4853,7414,511,8,536874568,536876128,536874568,536876128,0,0,0,0,0,0
40,2,0,1,3,255,253,0,1,4530,7090,507,8,536874568,536876128,536874568,536876128,0,0,0,0,0,0
41,2,1,0,0,255,253,0,1,4537,7099,511,8,536874568,536876128,536874568,536876128,0,0,0,0,0,0
42,2,0,1,3,255,253,0,1,4530,7090,507,8,536874568,536876128,536874568,536876128,0,0,0,0,0,0
43,2,1,0,0,255,253,0,1,4537,7099,511,8,536874568,536876128,536874568,536876128,0,0,0,0,0,0
