sequence,decision,ct_entry,completed_slot,completed_id,replacement_id,ndtr_guard,free_depth_after_take,ready_depth_after_publish,nominal_to_decision_cycles,nominal_to_irq_exit_cycles,final_window_cycles,mapping_epoch_after,m0_before,m1_before,m0_after,m1_after,processing_begin_offset_cycles,processing_end_offset_cycles,release_commit_offset_cycles,raw_min,raw_max,processed_ok
1,1,1,0,0,2,251,1,1,6484,11536,1074,2,536874568,536875088,536875608,536875088,244477,258920,260522,0,7,1
2,1,0,1,1,3,251,1,1,6462,11499,1071,3,536875608,536875088,536875608,536876128,474826,489269,490863,0,8,1
3,1,1,0,2,0,251,1,1,6488,11523,1074,4,536875608,536876128,536874568,536876128,705252,720006,721628,0,8,1
4,1,0,1,3,1,251,1,1,6454,11485,1071,5,536874568,536876128,536874568,536875088,935608,950056,951646,0,8,1
5,1,1,0,0,2,251,1,1,6472,11500,1072,6,536874568,536875088,536875608,536875088,1166029,1180470,1182060,0,9,1
6,1,0,1,1,3,251,1,1,6462,11499,1071,7,536875608,536875088,536875608,536876128,1396426,1411393,1413018,0,10,1
7,1,1,0,2,0,251,1,1,6480,11507,1072,8,536875608,536876128,536874568,536876128,1626835,1641280,1642870,0,6,1
8,1,0,1,3,1,251,1,1,6454,11485,1071,9,536874568,536876128,536874568,536875088,1857208,1871650,1873241,0,8,1
9,1,1,0,0,2,251,1,1,6476,11504,1074,10,536874568,536875088,536875608,536875088,2087637,2102082,2103672,0,9,1
10,1,0,1,1,3,251,1,1,6462,11499,1071,11,536875608,536875088,536875608,536876128,2318256,2332944,2334567,0,8,1
11,1,1,0,2,0,251,1,1,6484,11511,1074,12,536875608,536876128,536874568,536876128,2548439,2562880,2564470,0,8,1
12,1,0,1,3,1,251,1,1,6454,11485,1071,13,536874568,536876128,536874568,536875088,2778808,2793256,2794846,0,9,1
13,1,1,0,0,2,251,1,1,6472,11500,1072,14,536874568,536875088,536875608,536875088,3009229,3023674,3025264,0,8,1
14,1,0,1,1,3,251,1,1,6786,11832,1073,15,536875608,536875088,536875608,536876128,3239970,3254410,3256004,0,8,1
15,1,1,0,2,0,251,1,1,6480,11507,1072,16,536875608,536876128,536874568,536876128,3470035,3484482,3486072,0,10,1
16,1,0,1,3,1,251,1,1,6454,11485,1071,17,536874568,536876128,536874568,536875088,3700408,3714850,3716441,0,7,1
17,1,1,0,0,2,251,1,1,6472,11500,1072,18,536874568,536875088,536875608,536875088,3931337,3945778,3947367,0,8,1
18,1,0,1,1,3,251,1,1,6462,11499,1071,19,536875608,536875088,536875608,536876128,4161226,4175674,4177268,0,8,1
19,1,1,0,2,0,251,1,1,6480,11507,1072,20,536875608,536876128,536874568,536876128,4391635,4406075,4407666,0,9,1
20,1,0,1,3,1,251,1,1,6454,11485,1071,21,536874568,536876128,536874568,536875088,4622008,4636456,4638046,0,8,1
21,1,1,0,0,2,251,1,1,6480,11822,1074,22,536874568,536875088,536875608,536875088,4852749,4867192,4868783,0,7,1
22,1,0,1,1,3,251,1,1,6462,11499,1071,23,536875608,536875088,536875608,536876128,5082826,5097264,5098858,0,8,1
23,1,1,0,2,0,251,1,1,6480,11507,1072,24,536875608,536876128,536874568,536876128,5313235,5327676,5329266,0,9,1
24,1,0,1,3,1,251,1,1,6454,11485,1071,25,536874568,536876128,536874568,536875088,5543608,5558569,5560192,0,7,1
25,1,1,0,0,2,251,1,1,6472,11500,1072,26,536874568,536875088,536875608,536875088,5774029,5788475,5790066,0,7,1
26,1,0,1,1,3,251,1,1,6462,11499,1071,27,536875608,536875088,536875608,536876128,6004426,6018868,6020462,0,8,1
