sequence,decision,ct_entry,completed_slot,completed_id,replacement_id,ndtr_guard,free_depth_after_take,ready_depth_after_publish,nominal_to_decision_cycles,nominal_to_irq_exit_cycles,final_window_cycles,mapping_epoch_after,m0_before,m1_before,m0_after,m1_after,processing_begin_offset_cycles,processing_end_offset_cycles,release_commit_offset_cycles,raw_min,raw_max,processed_ok
1,1,1,0,0,2,251,7,1,6641,11864,1074,2,536874568,536875088,536875608,536875088,244956,259400,261145,0,8,1
2,1,0,1,1,3,251,7,1,6603,11795,1072,3,536875608,536875088,536875608,536876128,475775,490336,492103,0,9,1
3,1,1,0,2,4,251,7,1,6613,11806,1073,4,536875608,536876128,536876648,536876128,705679,720124,721869,0,7,1
4,1,0,1,3,5,251,7,1,6603,11795,1072,5,536876648,536876128,536876648,536877168,936065,950511,952255,0,9,1
5,1,1,0,4,6,251,7,1,6613,11806,1073,6,536876648,536877168,536877688,536877168,1166479,1180922,1182667,0,9,1
6,1,0,1,5,7,251,7,1,6603,11795,1072,7,536877688,536877168,536877688,536878208,1396865,1411306,1413050,0,6,1
7,1,1,0,6,8,251,7,1,6613,11818,1075,8,536877688,536878208,536878728,536878208,1627288,1641734,1643478,0,9,1
8,1,0,1,7,9,251,7,1,6603,11804,1072,9,536878728,536878208,536878728,536879248,1857677,1872122,1873867,0,8,1
9,1,1,0,8,0,251,7,1,6621,11820,1074,10,536878728,536879248,536874568,536879248,2088610,2103374,2105146,0,9,1
10,1,0,1,9,1,251,7,1,6615,11814,1073,11,536874568,536879248,536874568,536875088,2318488,2332938,2334687,0,9,1
11,1,1,0,0,2,251,7,1,6621,11820,1073,12,536874568,536875088,536875608,536875088,2548894,2563342,2565088,0,10,1
12,1,0,1,1,3,251,7,1,6603,11795,1072,13,536875608,536875088,536875608,536876128,2779265,2793705,2795449,0,7,1
13,1,1,0,2,4,250,7,1,6937,12150,1076,14,536875608,536876128,536876648,536876128,3010034,3024479,3026223,0,9,1
14,1,0,1,3,5,251,7,1,6603,11795,1072,15,536876648,536876128,536876648,536877168,3240065,3254510,3256254,0,7,1
15,1,1,0,4,6,251,7,1,6613,11806,1075,16,536876648,536877168,536877688,536877168,3470479,3484919,3486662,0,9,1
16,1,0,1,5,7,251,7,1,6603,11804,1072,17,536877688,536877168,536877688,536878208,3700877,3715633,3717400,0,9,1
17,1,1,0,6,8,251,7,1,6625,11818,1076,18,536877688,536878208,536878728,536878208,3931295,3945743,3947488,0,7,1
18,1,0,1,7,9,251,7,1,6603,11795,1072,19,536878728,536878208,536878728,536879248,4161665,4176105,4177849,0,7,1
19,1,1,0,8,0,251,7,1,6613,11812,1073,20,536878728,536879248,536874568,536879248,4392087,4406524,4408273,0,6,1
20,1,0,1,9,1,251,7,1,6619,12138,1071,21,536874568,536879248,536874568,536875088,4622813,4637259,4639007,0,8,1
21,1,1,0,0,2,251,7,1,6621,11820,1073,22,536874568,536875088,536875608,536875088,4852894,4867330,4869076,0,7,1
22,1,0,1,1,3,251,7,1,6603,11795,1072,23,536875608,536875088,536875608,536876128,5083265,5097710,5099454,0,8,1
23,1,1,0,2,4,251,7,1,6613,11806,1075,24,536875608,536876128,536876648,536876128,5313679,5328877,5330644,0,8,1
24,1,0,1,3,5,251,7,1,6603,11804,1072,25,536876648,536876128,536876648,536877168,5544077,5558525,5560270,0,8,1
25,1,1,0,4,6,251,7,1,6625,11818,1076,26,536876648,536877168,536877688,536877168,5774495,5788936,5790675,0,8,1
26,1,0,1,5,7,251,7,1,6603,11795,1072,27,536877688,536877168,536877688,536878208,6004865,6019310,6021054,0,7,1
27,1,1,0,6,8,251,7,1,6613,11806,1075,28,536877688,536878208,536878728,536878208,6235789,6250552,6252317,0,9,1
28,1,0,1,7,9,251,7,1,6603,11795,1072,29,536878728,536878208,536878728,536879248,6465665,6480110,6481854,0,6,1
29,1,1,0,8,0,251,7,1,6613,11812,1075,30,536878728,536879248,536874568,536879248,6696087,6710528,6712276,0,7,1
30,1,0,1,9,1,251,7,1,6615,11814,1073,31,536874568,536879248,536874568,536875088,6926488,6940936,6942680,0,9,1
31,1,1,0,0,2,251,7,1,6621,11820,1075,32,536874568,536875088,536875608,536875088,7156894,7171334,7173080,0,8,1
32,1,0,1,1,3,251,7,1,6603,11804,1072,33,536875608,536875088,536875608,536876128,7387277,7401719,7403463,0,10,1
33,1,1,0,2,4,251,7,1,6621,11814,1074,34,536875608,536876128,536876648,536876128,7617690,7632136,7633875,0,10,1
34,1,0,1,3,5,251,7,1,6603,11795,1072,35,536876648,536876128,536876648,536877168,7848575,7863334,7865101,0,8,1
35,1,1,0,4,6,251,7,1,6613,11806,1075,36,536876648,536877168,536877688,536877168,8078479,8092922,8094667,0,8,1
36,1,0,1,5,7,251,7,1,6603,11795,1072,37,536877688,536877168,536877688,536878208,8308865,8323310,8325054,0,8,1
37,1,1,0,6,8,251,7,1,6613,11806,1073,38,536877688,536878208,536878728,536878208,8539279,8553723,8555468,0,8,1
38,1,0,1,7,9,250,7,1,6931,12123,1074,39,536878728,536878208,536878728,536879248,8769994,8784435,8786175,0,10,1
39,1,1,0,8,0,251,7,1,6613,11812,1073,40,536878728,536879248,536874568,536879248,9000087,9014525,9016274,0,7,1
40,1,0,1,9,1,251,7,1,6615,11823,1073,41,536874568,536879248,536874568,536875088,9230498,9244948,9246690,0,8,1
41,1,1,0,0,2,251,7,1,6633,11832,1076,42,536874568,536875088,536875608,536875088,9460911,9476113,9477881,0,8,1
42,1,0,1,1,3,251,7,1,6603,11795,1072,43,536875608,536875088,536875608,536876128,9691265,9705705,9707449,0,8,1
43,1,1,0,2,4,251,7,1,6613,11806,1075,44,536875608,536876128,536876648,536876128,9921679,9936122,9937867,0,8,1
44,1,0,1,3,5,251,7,1,6603,11795,1072,45,536876648,536876128,536876648,536877168,10152065,10166505,10168249,0,7,1
45,1,1,0,4,6,251,7,1,6618,12121,1074,46,536876648,536877168,536877688,536877168,10382792,10397240,10398985,0,9,1
46,1,0,1,5,7,251,7,1,6603,11795,1072,47,536877688,536877168,536877688,536878208,10612865,10627310,10629054,0,8,1
47,1,1,0,6,8,251,7,1,6613,11806,1075,48,536877688,536878208,536878728,536878208,10843279,10857728,10859472,0,9,1
48,1,0,1,7,9,251,7,1,6603,11804,1072,49,536878728,536878208,536878728,536879248,11073677,11088645,11090412,0,6,1
49,1,1,0,8,0,251,7,1,6621,11820,1074,50,536878728,536879248,536874568,536879248,11304101,11318550,11320291,0,9,1
50,1,0,1,9,1,251,7,1,6615,11814,1073,51,536874568,536879248,536874568,536875088,11534488,11548931,11550680,0,7,1
51,1,1,0,0,2,251,7,1,6621,11820,1073,52,536874568,536875088,536875608,536875088,11764894,11779333,11781079,0,8,1
52,1,0,1,1,3,251,7,1,6603,11795,1072,53,536875608,536875088,536875608,536876128,11995775,12010333,12012100,0,9,1
53,1,1,0,2,4,251,7,1,6613,11806,1073,54,536875608,536876128,536876648,536876128,12225679,12240122,12241867,0,8,1
54,1,0,1,3,5,251,7,1,6603,11795,1072,55,536876648,536876128,536876648,536877168,12456065,12470510,12472254,0,9,1
55,1,1,0,4,6,251,7,1,6613,11806,1073,56,536876648,536877168,536877688,536877168,12686479,12700924,12702669,0,9,1
56,1,0,1,5,7,251,7,1,6603,11804,1072,57,536877688,536877168,536877688,536878208,12916877,12931319,12933062,0,9,1
57,1,1,0,6,8,251,7,1,6625,11818,1076,58,536877688,536878208,536878728,536878208,13147295,13161737,13163481,0,9,1
58,1,0,1,7,9,251,7,1,6603,11795,1072,59,536878728,536878208,536878728,536879248,13377665,13392112,13393856,0,9,1
59,1,1,0,8,0,251,7,1,6613,11812,1075,60,536878728,536879248,536874568,536879248,13608596,13623272,13625043,0,9,1
60,1,0,1,9,1,251,7,1,6615,11814,1073,61,536874568,536879248,536874568,536875088,13838488,13852936,13854680,0,9,1
61,1,1,0,0,2,251,7,1,6621,11820,1073,62,536874568,536875088,536875608,536875088,14068894,14083336,14085077,0,7,1
62,1,0,1,1,3,251,7,1,6603,11795,1072,63,536875608,536875088,536875608,536876128,14299265,14313705,14315449,0,8,1
63,1,1,0,2,4,250,7,1,6937,12130,1076,64,536875608,536876128,536876648,536876128,14530002,14544450,14546195,0,8,1
64,1,0,1,3,5,251,7,1,6603,11804,1072,65,536876648,536876128,536876648,536877168,14760077,14774524,14776269,0,9,1
65,1,1,0,4,6,251,7,1,6621,11814,1074,66,536876648,536877168,536877688,536877168,14990490,15004935,15006679,0,9,1
66,1,0,1,5,7,251,7,1,6603,11795,1072,67,536877688,536877168,536877688,536878208,15220865,15235835,15237601,0,8,1
67,1,1,0,6,8,251,7,1,6613,11806,1073,68,536877688,536878208,536878728,536878208,15451279,15465719,15467462,0,6,1
68,1,0,1,7,9,251,7,1,6603,11795,1072,69,536878728,536878208,536878728,536879248,15681665,15696110,15697854,0,8,1
69,1,1,0,8,0,251,7,1,6613,11812,1075,70,536878728,536879248,536874568,536879248,15912087,15926534,15928282,0,10,1
70,1,0,1,9,1,251,7,1,6619,12138,1073,71,536874568,536879248,536874568,536875088,16142813,16157259,16159007,0,9,1
71,1,1,0,0,2,251,7,1,6621,11820,1075,72,536874568,536875088,536875608,536875088,16372894,16387334,16389080,0,8,1
72,1,0,1,1,3,251,7,1,6603,11804,1072,73,536875608,536875088,536875608,536876128,16603277,16617717,16619461,0,7,1
73,1,1,0,2,4,251,7,1,6625,11818,1076,74,536875608,536876128,536876648,536876128,16833695,16848573,16850341,0,9,1
74,1,0,1,3,5,251,7,1,6603,11795,1072,75,536876648,536876128,536876648,536877168,17064065,17078510,17080254,0,9,1
